,categorical_features,cv_mean_mae,cv_mean_rmse,cv_mean_rsquare,cv_mean_adj_rsquare
0,"['grade', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70886.015,111985.585,0.848,0.848
1,"['bedrooms', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73225.664,115962.937,0.837,0.837
2,"['bathrooms', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72785.963,115344.409,0.839,0.838
3,"['view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73025.265,115698.732,0.838,0.837
4,"['condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73206.055,115915.082,0.837,0.837
5,"['floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73194.863,115980.136,0.837,0.837
6,"['grade', 'bedrooms', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70872.675,111962.766,0.848,0.848
7,"['grade', 'bathrooms', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70774.761,112034.665,0.848,0.848
8,"['grade', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70725.561,111720.718,0.849,0.848
9,"['grade', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70884.001,111983.907,0.848,0.848
10,"['grade', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70841.525,111993.491,0.848,0.848
11,"['bedrooms', 'bathrooms', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72743.71,115327.304,0.839,0.838
12,"['bedrooms', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73039.637,115703.997,0.838,0.837
13,"['bedrooms', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73216.06,115922.082,0.837,0.837
14,"['bedrooms', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73207.849,115985.023,0.837,0.837
15,"['bathrooms', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72615.561,115093.207,0.839,0.839
16,"['bathrooms', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72763.599,115289.025,0.839,0.839
17,"['bathrooms', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72766.279,115391.785,0.838,0.838
18,"['view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73020.978,115663.839,0.838,0.838
19,"['view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73008.852,115713.146,0.838,0.837
20,"['condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73185.619,115934.234,0.837,0.837
21,"['grade', 'bedrooms', 'bathrooms', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70721.018,111981.088,0.848,0.848
22,"['grade', 'bedrooms', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70707.964,111696.079,0.849,0.849
23,"['grade', 'bedrooms', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70868.231,111961.508,0.848,0.848
24,"['grade', 'bedrooms', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70809.708,111968.223,0.848,0.848
25,"['grade', 'bathrooms', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70628.329,111777.495,0.848,0.848
26,"['grade', 'bathrooms', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70774.916,112022.801,0.848,0.848
27,"['grade', 'bathrooms', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70740.377,112063.635,0.848,0.848
28,"['grade', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70724.036,111723.046,0.849,0.848
29,"['grade', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70677.105,111724.796,0.849,0.848
30,"['grade', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70842.628,111990.793,0.848,0.848
31,"['bedrooms', 'bathrooms', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72574.123,115074.893,0.839,0.839
32,"['bedrooms', 'bathrooms', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72726.434,115273.358,0.839,0.839
33,"['bedrooms', 'bathrooms', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72713.002,115371.206,0.839,0.838
34,"['bedrooms', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73032.403,115672.95,0.838,0.838
35,"['bedrooms', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73020.579,115719.969,0.838,0.837
36,"['bedrooms', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73192.998,115943.033,0.837,0.837
37,"['bathrooms', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72590.606,115047.579,0.839,0.839
38,"['bathrooms', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72594.285,115133.633,0.839,0.839
39,"['bathrooms', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72743.25,115334.43,0.839,0.838
40,"['view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72999.817,115676.691,0.838,0.838
41,"['grade', 'bedrooms', 'bathrooms', 'view', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70578.1,111720.669,0.849,0.848
42,"['grade', 'bedrooms', 'bathrooms', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70719.939,111969.491,0.848,0.848
43,"['grade', 'bedrooms', 'bathrooms', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70672.485,112007.822,0.848,0.848
44,"['grade', 'bedrooms', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70703.815,111698.812,0.849,0.849
45,"['grade', 'bedrooms', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70645.2,111697.422,0.849,0.849
46,"['grade', 'bedrooms', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70812.174,111966.154,0.848,0.848
47,"['grade', 'bathrooms', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70624.76,111769.979,0.848,0.848
48,"['grade', 'bathrooms', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70591.793,111801.318,0.848,0.848
49,"['grade', 'bathrooms', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70739.84,112050.503,0.848,0.848
50,"['grade', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70679.806,111725.724,0.849,0.848
51,"['bedrooms', 'bathrooms', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72553.642,115030.475,0.839,0.839
52,"['bedrooms', 'bathrooms', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72543.875,115112.114,0.839,0.839
53,"['bedrooms', 'bathrooms', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72689.013,115315.718,0.839,0.838
54,"['bedrooms', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",73008.464,115687.056,0.838,0.837
55,"['bathrooms', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72566.381,115085.794,0.839,0.839
56,"['grade', 'bedrooms', 'bathrooms', 'view', 'condition', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70574.33,111713.275,0.849,0.848
57,"['grade', 'bedrooms', 'bathrooms', 'view', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70529.532,111742.226,0.849,0.848
58,"['grade', 'bedrooms', 'bathrooms', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70668.956,111994.932,0.848,0.848
59,"['grade', 'bedrooms', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70646.589,111699.113,0.849,0.849
60,"['grade', 'bathrooms', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70589.001,111792.314,0.848,0.848
61,"['bedrooms', 'bathrooms', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",72514.909,115065.714,0.839,0.839
62,"['grade', 'bedrooms', 'bathrooms', 'view', 'condition', 'floors', 'geo_cluster', 'month', 'yr_built_bin', 'yr_renovated_bin']",70520.954,111733.255,0.849,0.848
